Title,Url,Thumbnail_url,Channel_name,Views,Uploaded,Description
Tom Holland Calls for a Doctor While Eating Spicy Wings | Hot Ones,https://www.youtube.com/watch?v=qxGmGGmvFD8,https://i.ytimg.com/vi/qxGmGGmvFD8/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCv9S1kQVUuYgaiPzdIpvtzxkuvew,First We Feast,3.3M views,1 day ago,"Tom Holland began his career at 12 years old in the West End production of Billy Elliot, and now he's one of Hollywood's biggest box office draws, from award-winning performances in The Impossible,..."
"Sonic the Hedgehog 2 (2022) - ""Official Trailer"" - Paramount Pictures",https://www.youtube.com/watch?v=G5kzUpWAusI,https://i.ytimg.com/vi/G5kzUpWAusI/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAW3kIDRvhvVU_RLVMuLqLlBUVzcg,Paramount Pictures,2.9M views,14 hours ago,"The world’s favorite blue hedgehog is back for a next-level adventure in SONIC THE HEDGEHOG 2. After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero...."
Star Wars Eclipse – Official Cinematic Reveal Trailer,https://www.youtube.com/watch?v=4cJpiOPKH14,https://i.ytimg.com/vi/4cJpiOPKH14/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCzc5ZoRVo00jZJyInW55CErkw7UA,Star Wars,2.4M views,14 hours ago,"Star Wars Eclipse™ is the newest adventure in the High Republic era, now early in development by Quantic Dream. Learn more on www.StarWarsEclipse.com. Set during the High Republic era,..."
Juice WRLD - Burn (Official Music Video),https://www.youtube.com/watch?v=HA1srD2DwaI,,Juice WRLD,642K views,11 hours ago,"Juice WRLD ""Fighting Demons"" is available now: https://JuiceWrld.lnk.to/FightingDemons Directed by Steve Cannon Produced by Grade A Films Subscribe to the official Juice WRLD channel for new..."
A Conversation with Travis Scott and Charlamagne Tha God,https://www.youtube.com/watch?v=FS9SvGvbSgw,,CThaGod,1.1M views,1 day ago,"Charlamagne Tha God and Travis Scott in his first interview since the tragedies at the Astroworld Festival. During this open conversation, Scott goes in depth about the events that occurred..."
OUR NEW HOUSE TOUR! *EXCLUSIVE*,https://www.youtube.com/watch?v=RsdGGeDWl_Q,,The ACE Family,1.2M views,13 hours ago,OUR NEW HOUSE TOUR! *EXCLUSIVE* **ACE FAMILY MERCH HERE: shopacefamily.com LAST VIDEO: https://www.youtube.com/watch?v=xkhq3T6aw6Q&t=785s JOIN THE ACE FAMILY & SUBSCRIBE: http://bit.ly/THEACEFAM...
Thank You All So Much.. Pat McAfee's MASSIVE Announcement,https://www.youtube.com/watch?v=OHY99OOtqiI,,The Pat McAfee Show,779K views,22 hours ago,Thank you all so much. It's time for our MASSIVE announcement. Become a member! https://www.youtube.com/channel/UCxcTeAKWJca6XyJ37_ZoKIQ/join SUBSCRIBE: https://www.youtube.com/channel/UCxcTeAKWJc...
Cobra Kai Season 4 | Official Trailer | Netflix,https://www.youtube.com/watch?v=I3uX4uwrAaY,,Netflix,1M views,1 day ago,"Every legacy. Every rivalry. Leads to this. Cobra Kai S4 premieres globally Dec 31, only on Netflix. COBRA KAI takes place over 30 years after the events of the 1984 All Valley Karate Tournament..."
Hisuian Voltorb’s shocking debut! ⚡ | Pokémon Legends: Arceus,https://www.youtube.com/watch?v=V6-SDCGZglI,,The Official Pokémon YouTube channel,842K views,17 hours ago,"Hisuian Voltorb looks very similar to the Poké Balls of the Hisui region. This Pokémon is always in high spirits and has a friendly personality. However, it discharges its stored electricity..."
Sonic Frontiers - Announce Trailer,https://www.youtube.com/watch?v=RRkKZG1z9PY,,Sonic the Hedgehog,522K views,13 hours ago,"Sonic Team presents...Sonic Frontiers, arriving Holiday 2022! An experience like never before, accelerate to new heights and experience the thrill of high velocity, open-zone freedom. Battle..."
